Target_Reward,Total_Episode
76.3258867697194,20
142.6846932094729,40
56.71251945684031,60
94.62963223045985,80
91.29701617825646,100
158.94330878644757,120
85.8327008553683,140
61.178870668688475,160
161.6151248103895,180
197.328077119345,200
154.74756873200982,220
94.30257672559266,240
128.32923794016563,260
109.64860419142212,280
166.36390565568524,300
220.45283760575032,320
163.6753936764644,340
169.83075926578982,360
252.480725968319,380
159.1765605492021,400
282.8046341217023,420
243.08420267949128,440
304.0090675883547,460
305.3010094795473,480
326.51797355598376,500
254.33391525809188,520
315.66896712092813,540
357.5164002639987,560
283.5711385703576,580
418.19706778042325,600
341.30787845864717,620
356.30526142953124,640
292.7924253524024,660
307.0809738143093,680
312.34939329437384,700
375.35510744528085,720
348.8907833475422,740
390.7914349560734,760
375.71353739650664,780
388.8879137326648,800
417.4838285918568,820
360.91250081633245,840
397.5293219795983,860
382.3174259523336,880
402.6920372737365,900
404.9991433051232,920
408.6459073488997,940
428.06985713088426,960
395.37408516649765,980
331.1751334874247,1000
502.8025078703648,1020
458.7724051484399,1040
318.8125313828062,1060
416.5055500811457,1080
452.9120062095311,1100
426.23995050938487,1120
453.1650250792469,1140
492.5371533429185,1160
442.0528344328079,1180
396.1540670343062,1200
495.43480735439493,1220
535.5167570340399,1240
272.5571566478618,1260
512.5210593847718,1280
309.8080390692365,1300
314.2138451021223,1320
529.1864235022376,1340
511.03005920849745,1360
390.25504257756967,1380
541.1364599176146,1400
446.14661280263533,1420
533.2011078228833,1440
435.7789017517749,1460
470.6901410270915,1480
772.8395351223814,1500
424.3396715280395,1520
544.7797108501477,1540
374.2351881465264,1560
643.2361455560483,1580
520.6630913311693,1600
530.6938541585193,1620
640.7319628395438,1640
483.00560363476393,1660
571.6499741111091,1680
577.9934680220714,1700
730.2666390686861,1720
546.7340227071186,1740
638.222354651238,1760
631.1321527343564,1780
431.55314283908723,1800
544.1415018613147,1820
593.9231734412475,1840
640.5470431421593,1860
650.2504148009193,1880
587.3712223815288,1900
619.7434012481012,1920
800.3465254758256,1940
861.9411882577008,1960
721.5654035075554,1980
620.4387132508573,2000
